,neighborhood,arson,assault,bad checks,bribery,burglary,disorderly conduct,driving under the influence,drug/narcotic,drunkenness,embezzlement,extortion,family offenses,forgery/counterfeiting,fraud,gambling,kidnapping,larceny/theft,liquor laws,loitering,missing person,non-criminal,other offenses,pornography/obscene mat,prostitution,recovered vehicle,robbery,runaway,secondary codes,"sex offenses, forcible","sex offenses, non forcible",stolen property,suicide,suspicious occ,trea,trespass,vandalism,vehicle theft,warrants,weapon laws,totalincidents
57,Marina,12.0,262.0,3.0,0.0,392.0,5.0,8.0,73.0,20.0,11.0,3.0,1.0,58.0,114.0,0.0,7.0,1796.0,3.0,4.0,46.0,492.0,388.0,1.0,6.0,21.0,86.0,3.0,28.0,17.0,0.0,30.0,1.0,160.0,0.0,23.0,251.0,302.0,108.0,22.0,4757.0
58,McLaren Park,4.0,20.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,37.0,0.0,0.0,2.0,28.0,34.0,0.0,0.0,6.0,11.0,0.0,2.0,2.0,0.0,3.0,0.0,12.0,0.0,0.0,10.0,13.0,3.0,5.0,206.0
59,Merced Heights,8.0,168.0,0.0,1.0,55.0,0.0,2.0,87.0,1.0,2.0,1.0,0.0,10.0,27.0,0.0,8.0,194.0,2.0,7.0,50.0,155.0,291.0,0.0,0.0,20.0,49.0,0.0,34.0,8.0,3.0,6.0,0.0,69.0,0.0,5.0,82.0,92.0,92.0,29.0,1558.0
60,Merced Manor,0.0,35.0,2.0,0.0,32.0,1.0,2.0,7.0,1.0,2.0,0.0,0.0,2.0,16.0,0.0,0.0,94.0,0.0,0.0,11.0,61.0,133.0,0.0,0.0,4.0,19.0,0.0,5.0,6.0,0.0,1.0,2.0,26.0,0.0,5.0,52.0,38.0,12.0,2.0,571.0
61,Midtown Terrace,0.0,6.0,0.0,0.0,21.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,41.0,0.0,0.0,11.0,38.0,17.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,12.0,23.0,2.0,1.0,204.0
62,Mint Hill,2.0,64.0,0.0,4.0,61.0,3.0,2.0,34.0,5.0,1.0,0.0,0.0,4.0,19.0,0.0,0.0,217.0,0.0,2.0,12.0,86.0,112.0,1.0,1.0,5.0,19.0,1.0,8.0,4.0,0.0,2.0,1.0,25.0,0.0,12.0,72.0,73.0,43.0,8.0,903.0
63,Miraloma Park,1.0,56.0,1.0,0.0,54.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,16.0,22.0,0.0,3.0,202.0,1.0,0.0,26.0,87.0,86.0,0.0,1.0,1.0,9.0,0.0,8.0,2.0,0.0,5.0,1.0,33.0,0.0,6.0,49.0,72.0,14.0,5.0,780.0
64,Mission,45.0,3702.0,12.0,22.0,854.0,412.0,108.0,3090.0,250.0,43.0,10.0,22.0,317.0,486.0,5.0,114.0,5059.0,182.0,86.0,750.0,3400.0,7012.0,1.0,1460.0,97.0,1269.0,37.0,446.0,211.0,7.0,185.0,10.0,1213.0,0.0,254.0,1600.0,1741.0,2202.0,552.0,37266.0
65,Mission Bay,1.0,163.0,0.0,1.0,78.0,11.0,8.0,34.0,15.0,4.0,2.0,0.0,14.0,38.0,0.0,3.0,665.0,2.0,0.0,63.0,291.0,267.0,0.0,3.0,4.0,33.0,0.0,28.0,8.0,0.0,9.0,0.0,103.0,0.0,29.0,118.0,93.0,81.0,10.0,2179.0
66,Mission Dolores,14.0,667.0,2.0,1.0,307.0,17.0,20.0,261.0,34.0,6.0,4.0,2.0,82.0,112.0,0.0,19.0,1531.0,17.0,4.0,180.0,1086.0,845.0,0.0,1.0,15.0,183.0,5.0,98.0,63.0,1.0,39.0,2.0,262.0,0.0,52.0,396.0,455.0,288.0,73.0,7144.0
67,Mission Terrace,5.0,341.0,2.0,3.0,92.0,3.0,15.0,107.0,5.0,1.0,2.0,5.0,49.0,47.0,5.0,10.0,349.0,3.0,1.0,89.0,371.0,754.0,0.0,1.0,36.0,148.0,1.0,44.0,23.0,1.0,22.0,2.0,120.0,0.0,12.0,229.0,379.0,104.0,48.0,3429.0
68,Monterey Heights,0.0,10.0,1.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,35.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,9.0,12.0,2.0,0.0,133.0
69,Mt. Davidson Manor,0.0,30.0,1.0,0.0,28.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,9.0,16.0,0.0,2.0,168.0,0.0,0.0,11.0,38.0,38.0,0.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,2.0,37.0,34.0,9.0,4.0,466.0
70,Nob Hill,8.0,304.0,0.0,0.0,292.0,22.0,5.0,75.0,9.0,7.0,5.0,1.0,31.0,89.0,0.0,10.0,1071.0,1.0,6.0,79.0,500.0,412.0,0.0,33.0,17.0,106.0,1.0,44.0,22.0,0.0,22.0,6.0,171.0,0.0,46.0,272.0,351.0,110.0,24.0,4152.0
71,Noe Valley,8.0,183.0,1.0,1.0,252.0,7.0,8.0,31.0,9.0,4.0,0.0,3.0,24.0,64.0,0.0,8.0,637.0,3.0,0.0,43.0,288.0,327.0,0.0,0.0,6.0,59.0,2.0,31.0,11.0,0.0,15.0,1.0,99.0,0.0,15.0,199.0,438.0,45.0,20.0,2842.0
72,North Beach,10.0,785.0,3.0,4.0,283.0,53.0,26.0,112.0,93.0,10.0,1.0,1.0,61.0,157.0,2.0,9.0,1303.0,25.0,3.0,130.0,1016.0,814.0,0.0,2.0,13.0,147.0,6.0,94.0,39.0,1.0,39.0,0.0,296.0,0.0,43.0,371.0,280.0,228.0,62.0,6522.0
73,Northern Waterfront,3.0,94.0,0.0,0.0,148.0,1.0,7.0,16.0,6.0,7.0,3.0,1.0,10.0,48.0,2.0,4.0,1218.0,2.0,1.0,25.0,238.0,260.0,0.0,0.0,6.0,38.0,0.0,11.0,11.0,0.0,23.0,1.0,63.0,0.0,19.0,167.0,103.0,60.0,7.0,2603.0
74,Oceanview,7.0,298.0,2.0,1.0,93.0,2.0,6.0,116.0,3.0,1.0,0.0,4.0,25.0,39.0,0.0,12.0,255.0,2.0,2.0,268.0,209.0,426.0,0.0,3.0,15.0,90.0,62.0,49.0,18.0,1.0,8.0,3.0,102.0,0.0,19.0,149.0,244.0,128.0,34.0,2696.0
75,Outer Mission,5.0,179.0,1.0,0.0,54.0,3.0,2.0,44.0,3.0,3.0,0.0,3.0,17.0,20.0,1.0,8.0,171.0,1.0,1.0,113.0,145.0,202.0,0.0,0.0,18.0,49.0,8.0,20.0,12.0,0.0,6.0,1.0,48.0,0.0,13.0,96.0,201.0,42.0,18.0,1508.0
76,Outer Richmond,19.0,470.0,6.0,3.0,316.0,11.0,30.0,83.0,25.0,5.0,6.0,7.0,83.0,166.0,3.0,18.0,981.0,12.0,1.0,241.0,680.0,639.0,0.0,6.0,13.0,93.0,36.0,111.0,26.0,4.0,32.0,7.0,332.0,0.0,28.0,375.0,476.0,106.0,47.0,5497.0
77,Outer Sunset,18.0,751.0,2.0,3.0,469.0,33.0,29.0,162.0,46.0,9.0,5.0,7.0,137.0,217.0,0.0,26.0,1310.0,12.0,1.0,260.0,1057.0,1095.0,0.0,19.0,41.0,137.0,6.0,119.0,69.0,4.0,34.0,10.0,444.0,0.0,60.0,680.0,856.0,192.0,65.0,8385.0
78,Pacific Heights,7.0,290.0,5.0,0.0,578.0,22.0,23.0,95.0,10.0,8.0,1.0,2.0,93.0,140.0,0.0,13.0,1914.0,4.0,4.0,127.0,627.0,653.0,0.0,27.0,18.0,102.0,0.0,41.0,21.0,1.0,58.0,3.0,240.0,0.0,60.0,364.0,579.0,135.0,19.0,6284.0
79,Panhandle,2.0,143.0,2.0,0.0,176.0,8.0,21.0,76.0,13.0,1.0,1.0,1.0,36.0,39.0,0.0,3.0,467.0,6.0,2.0,194.0,301.0,417.0,0.0,0.0,6.0,42.0,7.0,27.0,9.0,0.0,12.0,1.0,89.0,0.0,13.0,133.0,251.0,111.0,19.0,2629.0
80,Parkmerced,4.0,172.0,3.0,0.0,206.0,2.0,7.0,33.0,15.0,0.0,1.0,1.0,21.0,49.0,0.0,5.0,485.0,19.0,0.0,37.0,217.0,244.0,1.0,30.0,7.0,27.0,1.0,32.0,12.0,1.0,6.0,1.0,100.0,0.0,14.0,148.0,237.0,34.0,12.0,2184.0
81,Parkside,9.0,318.0,6.0,2.0,162.0,6.0,15.0,84.0,16.0,1.0,3.0,1.0,59.0,86.0,1.0,9.0,508.0,4.0,1.0,408.0,566.0,451.0,0.0,8.0,15.0,56.0,58.0,119.0,19.0,2.0,14.0,5.0,178.0,0.0,18.0,280.0,309.0,36.0,35.0,3868.0
82,Parnassus Heights,1.0,55.0,0.0,1.0,28.0,1.0,2.0,13.0,1.0,2.0,0.0,0.0,7.0,16.0,0.0,3.0,115.0,0.0,0.0,32.0,72.0,61.0,0.0,0.0,3.0,2.0,0.0,2.0,4.0,0.0,4.0,1.0,17.0,0.0,11.0,29.0,55.0,8.0,6.0,552.0
83,Peralta Heights,5.0,62.0,0.0,0.0,52.0,2.0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,4.0,123.0,2.0,1.0,35.0,53.0,73.0,0.0,0.0,6.0,13.0,0.0,1.0,2.0,0.0,1.0,0.0,22.0,0.0,7.0,37.0,97.0,17.0,6.0,647.0
84,Polk Gulch,2.0,206.0,3.0,0.0,154.0,24.0,6.0,85.0,10.0,2.0,0.0,0.0,62.0,54.0,0.0,4.0,670.0,8.0,13.0,37.0,322.0,287.0,0.0,254.0,2.0,55.0,1.0,15.0,15.0,0.0,19.0,2.0,65.0,0.0,19.0,152.0,165.0,130.0,18.0,2861.0
85,Portola,10.0,574.0,4.0,2.0,158.0,9.0,16.0,109.0,6.0,5.0,3.0,8.0,55.0,60.0,0.0,16.0,546.0,4.0,1.0,183.0,410.0,790.0,0.0,3.0,36.0,266.0,11.0,81.0,28.0,2.0,30.0,2.0,216.0,0.0,5.0,302.0,499.0,137.0,66.0,4653.0
86,Potrero Hill,30.0,1129.0,5.0,5.0,592.0,87.0,25.0,375.0,45.0,6.0,1.0,39.0,58.0,115.0,0.0,28.0,1986.0,15.0,3.0,701.0,1055.0,1256.0,0.0,27.0,56.0,230.0,82.0,145.0,96.0,3.0,53.0,10.0,520.0,0.0,214.0,691.0,811.0,467.0,136.0,11097.0
87,Presidio Heights,1.0,50.0,0.0,0.0,113.0,4.0,3.0,10.0,1.0,3.0,2.0,3.0,12.0,30.0,0.0,1.0,260.0,0.0,0.0,28.0,136.0,88.0,0.0,0.0,1.0,11.0,0.0,10.0,2.0,0.0,7.0,2.0,52.0,0.0,8.0,64.0,82.0,10.0,2.0,996.0
88,Presidio National Park,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,53.0
89,Presidio Terrace,0.0,21.0,2.0,0.0,28.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,112.0,1.0,0.0,9.0,60.0,60.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,4.0,2.0,30.0,0.0,5.0,29.0,65.0,3.0,3.0,479.0
90,Produce Market,14.0,90.0,1.0,0.0,74.0,3.0,6.0,40.0,1.0,1.0,1.0,0.0,4.0,6.0,0.0,3.0,177.0,1.0,6.0,5.0,87.0,277.0,0.0,1.0,23.0,29.0,0.0,7.0,1.0,0.0,6.0,2.0,44.0,0.0,9.0,55.0,144.0,70.0,19.0,1207.0
91,Rincon Hill,2.0,93.0,2.0,1.0,69.0,5.0,3.0,11.0,4.0,3.0,2.0,0.0,18.0,41.0,0.0,2.0,769.0,0.0,14.0,19.0,164.0,144.0,0.0,0.0,5.0,15.0,0.0,10.0,7.0,1.0,3.0,1.0,45.0,0.0,15.0,117.0,103.0,28.0,11.0,1727.0
92,Russian Hill,9.0,230.0,0.0,0.0,276.0,15.0,8.0,53.0,7.0,5.0,1.0,1.0,31.0,70.0,1.0,9.0,1337.0,0.0,1.0,74.0,432.0,421.0,0.0,7.0,11.0,89.0,6.0,36.0,19.0,0.0,32.0,3.0,128.0,0.0,30.0,272.0,454.0,74.0,31.0,4173.0
93,Seacliff,0.0,4.0,0.0,0.0,29.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,69.0,0.0,0.0,6.0,37.0,27.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,0.0,2.0,20.0,23.0,4.0,3.0,265.0
94,Sherwood Forest,0.0,10.0,1.0,0.0,18.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,46.0,0.0,0.0,6.0,23.0,17.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,8.0,19.0,1.0,4.0,188.0
95,Showplace Square,7.0,103.0,2.0,1.0,123.0,45.0,4.0,56.0,6.0,11.0,0.0,0.0,23.0,36.0,0.0,2.0,983.0,0.0,6.0,13.0,181.0,368.0,0.0,5.0,13.0,34.0,0.0,20.0,5.0,0.0,13.0,0.0,76.0,0.0,71.0,138.0,144.0,116.0,20.0,2625.0
96,Silver Terrace,14.0,591.0,0.0,5.0,113.0,9.0,14.0,240.0,14.0,4.0,1.0,2.0,40.0,67.0,0.0,15.0,361.0,7.0,2.0,1013.0,345.0,1106.0,0.0,1.0,16.0,157.0,46.0,89.0,30.0,1.0,23.0,1.0,228.0,0.0,21.0,234.0,302.0,229.0,74.0,5415.0
97,South Beach,2.0,152.0,0.0,1.0,183.0,7.0,1.0,20.0,31.0,4.0,1.0,2.0,36.0,50.0,0.0,7.0,926.0,18.0,0.0,29.0,295.0,289.0,0.0,5.0,4.0,17.0,0.0,14.0,13.0,0.0,12.0,1.0,78.0,0.0,43.0,106.0,105.0,43.0,14.0,2509.0
98,South of Market,69.0,4674.0,21.0,19.0,1828.0,171.0,112.0,2736.0,304.0,104.0,15.0,15.0,695.0,1239.0,8.0,127.0,16826.0,110.0,90.0,1353.0,7375.0,7397.0,1.0,134.0,156.0,1400.0,40.0,478.0,383.0,12.0,390.0,27.0,2009.0,0.0,560.0,2604.0,1755.0,3400.0,427.0,59064.0
99,St. Francis Wood,0.0,8.0,0.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,57.0,0.0,0.0,3.0,20.0,29.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,11.0,0.0,2.0,15.0,20.0,4.0,0.0,211.0
100,St. Marys Park,1.0,76.0,1.0,1.0,22.0,2.0,3.0,21.0,1.0,1.0,1.0,0.0,4.0,11.0,0.0,2.0,98.0,0.0,0.0,18.0,72.0,161.0,0.0,0.0,11.0,24.0,1.0,21.0,4.0,0.0,3.0,0.0,30.0,0.0,1.0,58.0,89.0,25.0,6.0,769.0
101,Stonestown,0.0,114.0,1.0,0.0,104.0,2.0,4.0,29.0,2.0,17.0,1.0,0.0,28.0,85.0,0.0,4.0,900.0,0.0,2.0,24.0,164.0,300.0,0.0,0.0,2.0,64.0,1.0,14.0,3.0,0.0,18.0,2.0,75.0,0.0,19.0,98.0,122.0,59.0,9.0,2267.0
102,Sunnydale,8.0,544.0,0.0,3.0,166.0,4.0,2.0,97.0,3.0,3.0,1.0,3.0,12.0,19.0,1.0,15.0,123.0,1.0,1.0,88.0,164.0,405.0,0.0,0.0,31.0,86.0,4.0,118.0,26.0,1.0,9.0,2.0,117.0,0.0,20.0,276.0,145.0,141.0,98.0,2737.0
103,Sunnyside,3.0,176.0,2.0,3.0,68.0,8.0,2.0,54.0,3.0,1.0,0.0,1.0,23.0,34.0,0.0,0.0,469.0,1.0,8.0,49.0,229.0,312.0,1.0,2.0,5.0,40.0,1.0,34.0,16.0,1.0,13.0,3.0,100.0,0.0,16.0,151.0,174.0,49.0,20.0,2072.0
104,Sutro Heights,2.0,39.0,0.0,0.0,39.0,1.0,2.0,9.0,1.0,1.0,0.0,1.0,8.0,26.0,0.0,0.0,415.0,0.0,0.0,34.0,94.0,80.0,0.0,0.0,0.0,6.0,1.0,7.0,7.0,0.0,6.0,1.0,37.0,0.0,3.0,59.0,79.0,9.0,9.0,976.0
105,Telegraph Hill,0.0,35.0,0.0,0.0,93.0,5.0,2.0,10.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,3.0,324.0,1.0,0.0,4.0,96.0,84.0,0.0,0.0,2.0,21.0,0.0,7.0,3.0,0.0,11.0,0.0,33.0,0.0,11.0,82.0,65.0,15.0,2.0,927.0
106,Tenderloin,31.0,4035.0,7.0,7.0,603.0,302.0,63.0,8068.0,206.0,26.0,7.0,8.0,295.0,433.0,10.0,110.0,3561.0,112.0,55.0,467.0,3893.0,6340.0,2.0,481.0,103.0,1151.0,4.0,377.0,183.0,2.0,176.0,20.0,1293.0,0.0,436.0,912.0,574.0,3329.0,457.0,38139.0
107,Treasure Island,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,38.0
108,Union Street,2.0,224.0,3.0,0.0,216.0,5.0,4.0,36.0,11.0,7.0,0.0,1.0,18.0,59.0,0.0,3.0,934.0,3.0,0.0,19.0,282.0,280.0,0.0,2.0,5.0,46.0,2.0,19.0,8.0,0.0,24.0,1.0,97.0,0.0,16.0,183.0,167.0,55.0,9.0,2741.0
109,University Mound,1.0,92.0,0.0,1.0,56.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,3.0,119.0,0.0,0.0,41.0,67.0,166.0,0.0,0.0,15.0,51.0,2.0,12.0,5.0,0.0,8.0,0.0,40.0,0.0,1.0,66.0,147.0,23.0,15.0,982.0
110,Upper Market,1.0,54.0,0.0,0.0,66.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,20.0,22.0,0.0,0.0,248.0,0.0,0.0,12.0,98.0,102.0,0.0,0.0,3.0,4.0,0.0,16.0,2.0,0.0,3.0,2.0,39.0,0.0,2.0,53.0,143.0,11.0,2.0,915.0
111,Visitacion Valley,7.0,488.0,0.0,0.0,128.0,4.0,7.0,77.0,5.0,5.0,1.0,3.0,39.0,37.0,1.0,18.0,377.0,3.0,3.0,151.0,279.0,625.0,1.0,1.0,44.0,144.0,7.0,82.0,34.0,0.0,13.0,3.0,141.0,0.0,25.0,254.0,359.0,119.0,75.0,3560.0
112,West Portal,1.0,84.0,1.0,0.0,61.0,0.0,8.0,17.0,13.0,3.0,0.0,0.0,23.0,31.0,0.0,3.0,222.0,1.0,1.0,21.0,181.0,163.0,0.0,0.0,1.0,33.0,0.0,13.0,14.0,0.0,9.0,1.0,52.0,0.0,7.0,96.0,68.0,21.0,6.0,1155.0
113,Western Addition,17.0,984.0,6.0,6.0,396.0,18.0,11.0,240.0,33.0,4.0,1.0,12.0,93.0,149.0,0.0,32.0,2222.0,5.0,4.0,485.0,909.0,1252.0,0.0,6.0,25.0,271.0,48.0,160.0,63.0,4.0,51.0,3.0,349.0,0.0,74.0,503.0,427.0,373.0,149.0,9385.0
114,Westwood Highlands,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,4.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,10.0,0.0,1.0,92.0
115,Westwood Park,0.0,53.0,0.0,1.0,37.0,2.0,1.0,8.0,4.0,1.0,1.0,0.0,8.0,17.0,0.0,2.0,144.0,1.0,1.0,34.0,72.0,114.0,0.0,2.0,4.0,11.0,1.0,9.0,3.0,1.0,2.0,0.0,28.0,0.0,5.0,38.0,48.0,15.0,5.0,673.0
116,Yerba Buena Island,5.0,94.0,1.0,0.0,67.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,133.0,0.0,0.0,51.0,90.0,90.0,0.0,0.0,11.0,12.0,2.0,13.0,12.0,0.0,2.0,0.0,39.0,0.0,12.0,59.0,48.0,18.0,5.0,780.0
