,gsId,name,type,enrollment,gsRating,parentRating,district,address,lat,lon,geometry,index_right
142,6406,Mccoppin (Frank) Elementary School,public,218.0,7.0,4.0,San Francisco Unified School District,"651 Sixth Avenue, 
San Francisco, CA  94118",37.776283,-122.46401,POINT (-122.46401 37.776283),San Francisco
143,9764,Meadows-Livingstone School,private,19.0,5.396694214876033,5.0,,"1499 Potrero Avenue, 
San Francisco, CA  94110",37.749603,-122.40506,POINT (-122.40506 37.749603),San Francisco
144,8103,Mercy High School,private,395.0,5.396694214876033,4.0,,"3250 19th Avenue, 
San Francisco, CA  94132",37.729416,-122.47387,POINT (-122.47387 37.729416),San Francisco
145,6408,Milk (Harvey) Civil Rights Elementary School,public,238.0,2.0,4.0,San Francisco Unified School District,"4235 19th Street, 
San Francisco, CA  94114",37.759148,-122.43634,POINT (-122.43634 37.759148),San Francisco
147,6409,Miraloma Elementary School,public,390.0,8.0,5.0,San Francisco Unified School District,"175 Omar Way, 
San Francisco, CA  94127",37.739307,-122.45021,POINT (-122.45021 37.739307),San Francisco
148,8104,Mission Dolores Academy,private,258.0,5.396694214876033,4.0,,"3371 16th Street, 
San Francisco, CA  94114",37.7642,-122.42843,POINT (-122.42843 37.7642),San Francisco
149,6410,Mission Education Center,public,131.0,1.0,5.0,San Francisco Unified School District,"1670 Noe Street, 
San Francisco, CA  94131",37.742283,-122.43106,POINT (-122.43106 37.742283),San Francisco
150,6411,Mission High School,public,1058.0,1.0,4.0,San Francisco Unified School District,"3750 18th Street, 
San Francisco, CA  94114",37.761402,-122.42728,POINT (-122.42728 37.761402),San Francisco
151,25813,Mission Preparatory School,charter,426.0,10.0,5.0,San Francisco Unified School District,"1050 York Street, 
San Francisco, CA  94110",37.75544,-122.40857,POINT (-122.40857 37.75544),San Francisco
152,6412,Monroe Elementary School,public,511.0,5.0,4.0,San Francisco Unified School District,"260 Madrid Street, 
San Francisco, CA  94112",37.725224,-122.43012,POINT (-122.43012 37.725224),San Francisco
153,12920,Montessori House of Children School,private,110.0,5.396694214876033,4.0,,"1187 Franklin Street, 
San Francisco, CA  94109",37.78529,-122.42329,POINT (-122.42329 37.78529),San Francisco
154,6413,Moscone (George R.) Elementary School,public,370.0,5.0,4.0,San Francisco Unified School District,"2576 Harrison Street, 
San Francisco, CA  94110",37.75624,-122.4123,POINT (-122.4123 37.75624),San Francisco
155,31537,Mt. Vernon Christian Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"59 Caine Avenue, 
San Francisco, CA  94112",37.71714,-122.450356,POINT (-122.450356 37.71714),San Francisco
156,17359,Muhammad University of Islam,private,379.1877551020408,5.396694214876033,5.0,,"5048 Third Street, 
San Francisco, CA  94124",37.732788,-122.39178,POINT (-122.39178 37.732788),San Francisco
157,6414,Muir (John) Elementary School,public,265.0,4.0,4.0,San Francisco Unified School District,"380 Webster Street, 
San Francisco, CA  94117",37.77369,-122.42909,POINT (-122.42909 37.77369),San Francisco
158,31695,My City School,private,9.0,5.396694214876033,5.0,,"855 27th ave, San Francisco, CA 94121, 
San Francisco, CA  94114",37.764324,-122.43841,POINT (-122.43841 37.764324),San Francisco
159,6415,New Traditions Elementary School,public,260.0,9.0,4.0,San Francisco Unified School District,"2049 Grove Street, 
San Francisco, CA  94117",37.77431,-122.45032,POINT (-122.45032 37.77431),San Francisco
160,6417,O'connell (John) High School,public,319.0,2.0,4.0,San Francisco Unified School District,"2355 Folsom Street, 
San Francisco, CA  94110",37.759632,-122.41468,POINT (-122.41468 37.759632),San Francisco
161,8470,Oakes Children's Center,private,18.0,5.396694214876033,5.0,,"1550 Treat Avenue, 
San Francisco, CA  94110",37.74593,-122.41268,POINT (-122.41268 37.74593),San Francisco
162,26292,Oaks Christian Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"135 Evelyn Way, 
San Francisco, CA  94127",37.743107,-122.45257,POINT (-122.45257 37.743107),San Francisco
163,13053,Olympia Institute,private,379.1877551020408,5.396694214876033,3.0,,"950 Clement Street, 
San Francisco, CA  94118",37.782726,-122.469505,POINT (-122.469505 37.782726),San Francisco
164,26293,One Fifty Parker Avenue School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"150 Parker Avenue, 
San Francisco, CA  94118",37.782818,-122.4541,POINT (-122.4541 37.782818),San Francisco
165,32188,One Purpose,charter,72.0,1.0,4.183673469387755,Sbe - Onepurpose School District,"948 Hollister Avenue, 
San Francisco, CA  94124",37.71833,-122.38988,POINT (-122.38988 37.71833),San Francisco
166,6418,Ortega (Jose) Elementary School,public,393.0,7.0,5.0,San Francisco Unified School District,"400 Sargent Street, 
San Francisco, CA  94132",37.716167,-122.46625,POINT (-122.46625 37.716167),San Francisco
167,8105,Our Lady Of The Visitacion Elementary School,private,258.0,5.396694214876033,4.0,,"785 Sunnydale Avenue, 
San Francisco, CA  94134",37.7094,-122.40916,POINT (-122.40916 37.7094),San Francisco
168,6419,Parker (Jean) Elementary School,public,267.0,6.0,4.0,San Francisco Unified School District,"840 Broadway Street, 
San Francisco, CA  94133",37.79732,-122.4111,POINT (-122.4111 37.79732),San Francisco
169,6420,Parks (Rosa) Elementary School,public,461.0,4.0,5.0,San Francisco Unified School District,"1501 O'farrell Street, 
San Francisco, CA  94115",37.78368,-122.42945,POINT (-122.42945 37.78368),San Francisco
171,6421,Peabody (George) Elementary School,public,276.0,9.0,5.0,San Francisco Unified School District,"251 Sixth Avenue, 
San Francisco, CA  94118",37.783947,-122.46456,POINT (-122.46456 37.783947),San Francisco
173,8857,Presidio Hill School,private,220.0,5.396694214876033,4.0,,"3839 Washington St, 
San Francisco, CA  94118",37.788845,-122.45624,POINT (-122.45624 37.788845),San Francisco
174,25505,Presidio Knolls School,private,380.0,5.396694214876033,5.0,,"250 10th Street, 
San Francisco, CA  94103",37.772945,-122.41362,POINT (-122.41362 37.772945),San Francisco
175,6423,Presidio Middle School,public,1100.0,8.0,4.0,San Francisco Unified School District,"450 30th Avenue, 
San Francisco, CA  94121",37.78083,-122.4901,POINT (-122.4901 37.78083),San Francisco
176,6424,Redding Elementary School,public,255.0,6.0,4.0,San Francisco Unified School District,"1421 Pine Street, 
San Francisco, CA  94109",37.789726,-122.41921,POINT (-122.41921 37.789726),San Francisco
177,6425,Revere (Paul) Elementary School,public,462.0,1.0,4.0,San Francisco Unified School District,"555 Tompkins Avenue, 
San Francisco, CA  94110",37.73714,-122.41317,POINT (-122.41317 37.73714),San Francisco
178,9866,Rise Institute,private,34.0,5.396694214876033,4.183673469387755,,"1760 Cesar Chavez Street, Suites Rs, 
San Francisco, CA  94124",37.750465,-122.39495,POINT (-122.39495 37.750465),San Francisco
180,6426,Rooftop Elementary School,public,586.0,6.0,4.0,San Francisco Unified School District,"443 Burnett Avenue, 
San Francisco, CA  94131",37.754417,-122.44388,POINT (-122.44388 37.754417),San Francisco
181,6427,Roosevelt Middle School,public,698.0,9.0,4.0,San Francisco Unified School District,"460 Arguello Boulevard, 
San Francisco, CA  94118",37.78225,-122.45895,POINT (-122.45895 37.78225),San Francisco
182,15297,Russian American International School,private,64.0,5.396694214876033,5.0,,"3301 Balboa Street, 
San Francisco, CA  94121",37.77564,-122.494286,POINT (-122.494286 37.77564),San Francisco
183,13785,S.F. County Civic Center Secondary,public,143.0,5.396694214876033,1.0,San Francisco County Office Of Education School District,"727 Golden Gate Avenue, 
San Francisco, CA  94102",37.78069,-122.42308,POINT (-122.42308 37.78069),San Francisco
184,11135,S.F. County Opportunity (Hilltop) School,public,56.0,5.396694214876033,1.0,San Francisco County Office Of Education School District,"1325 Florida St, 
San Francisco, CA  94110",37.75074,-122.4098,POINT (-122.4098 37.75074),San Francisco
185,12608,S.F. County Special Education School,public,79.0,5.396694214876033,4.183673469387755,San Francisco County Office Of Education School District,"3045 Santiago St, 
San Francisco, CA  94116",37.743843,-122.49989,POINT (-122.49989 37.743843),San Francisco
186,25018,S.F. International High School,public,302.0,2.0,4.0,San Francisco Unified School District,"1050 York Street, 
San Francisco, CA  94110",37.75521,-122.40844,POINT (-122.40844 37.75521),San Francisco
187,26526,SIATech at Treasure Island,charter,201.0,5.396694214876033,4.183673469387755,,"351 Avenue H, 
San Francisco, CA  94130",37.824314,-122.36912,POINT (-122.36912 37.824314),San Francisco
188,8108,Sacred Heart Cathedral Preparatory,private,1340.0,5.396694214876033,4.0,,"1055 Ellis Street, 
San Francisco, CA  94109",37.78326,-122.423515,POINT (-122.423515 37.78326),San Francisco
189,8109,Saint Anne School,private,347.0,5.396694214876033,4.0,,"1320 14th Avenue, 
San Francisco, CA  94122",37.76338,-122.47144,POINT (-122.47144 37.76338),San Francisco
190,8131,Saint Vincent De Paul,private,270.0,5.396694214876033,3.0,,"2350 Green Street, 
San Francisco, CA  94123",37.795864,-122.437836,POINT (-122.437836 37.795864),San Francisco
191,9049,San Francisco Adventist,private,33.0,5.396694214876033,5.0,,"66 Geneva Avenue, 
San Francisco, CA  94112",37.72175,-122.45112,POINT (-122.45112 37.72175),San Francisco
192,25509,San Francisco Brightworks,private,88.0,5.396694214876033,5.0,,"360 9th Avenue, 
San Francisco, CA  94110",37.76219,-122.410194,POINT (-122.410194 37.76219),San Francisco
193,8668,San Francisco Christian School,private,240.0,5.396694214876033,4.0,,"25 Whittier Street, 
San Francisco, CA  94112",37.710068,-122.44773,POINT (-122.44773 37.710068),San Francisco
194,11493,San Francisco City Academy,private,118.0,5.396694214876033,5.0,,"230 Jones Street, 
San Francisco, CA  94102",37.783497,-122.41241,POINT (-122.41241 37.783497),San Francisco
195,6430,San Francisco Community Alternative School,public,290.0,3.0,4.0,San Francisco Unified School District,"125 Excelsior Avenue, 
San Francisco, CA  94112",37.725815,-122.43262,POINT (-122.43262 37.725815),San Francisco
196,14999,San Francisco County Rop School,public,379.1877551020408,5.396694214876033,4.183673469387755,San Francisco County Rop School District,"750 25th Avenue, 
San Francisco, CA  94121",37.775303,-122.48436,POINT (-122.48436 37.775303),San Francisco
197,9871,San Francisco Day School,private,352.0,5.396694214876033,5.0,,"350 Masonic Avenue, 
San Francisco, CA  94118",37.77804,-122.44628,POINT (-122.44628 37.77804),San Francisco
198,31539,San Francisco Expeditionary School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"2960 Broadway Street, 
San Francisco, CA  94115",37.793186,-122.44589,POINT (-122.44589 37.793186),San Francisco
199,13615,San Francisco Friends School,private,436.0,5.396694214876033,4.0,,"250 Valencia Street, 
San Francisco, CA  94103",37.76898,-122.422905,POINT (-122.422905 37.76898),San Francisco
200,26289,San Francisco High School of the Arts ,private,41.0,5.396694214876033,4.183673469387755,,"--, 
San Francisco, CA  94117",37.77053,-122.45283,POINT (-122.45283 37.77053),San Francisco
201,31540,San Francisco Pacific Academy,private,80.0,5.396694214876033,5.0,,"3301 Balboa Street, 
San Francisco, CA  94121",37.77564,-122.494286,POINT (-122.494286 37.77564),San Francisco
202,25336,San Francisco Public Montessori School,public,171.0,6.0,4.0,San Francisco Unified School District,"2340 Jackson Street, 
San Francisco, CA  94115",37.792618,-122.43354,POINT (-122.43354 37.792618),San Francisco
203,8490,"San Francisco School, The",private,281.0,5.396694214876033,5.0,,"300 Gaven Street, 
San Francisco, CA  94134",37.73278,-122.4117,POINT (-122.4117 37.73278),San Francisco
204,25498,San Francisco Schoolhouse,private,60.0,5.396694214876033,5.0,,"301 14th Avenue, 
San Francisco, CA  94118",37.78217,-122.47321,POINT (-122.47321 37.78217),San Francisco
205,8685,San Francisco University High School,private,400.0,5.396694214876033,5.0,,"3065 Jackson Street, 
San Francisco, CA  94115",37.790936,-122.44542,POINT (-122.44542 37.790936),San Francisco
206,31018,San Francisco Waldorf High School,private,150.0,5.396694214876033,4.183673469387755,,"470 West Portal Ave., 
San Francisco, CA  94127",37.735855,-122.47159,POINT (-122.47159 37.735855),San Francisco
207,9265,San Francisco Waldorf School,private,472.0,5.396694214876033,4.0,,"2938 Washington Street, 
San Francisco, CA  94115",37.790688,-122.44168,POINT (-122.44168 37.790688),San Francisco
208,6428,Sanchez Elementary School,public,281.0,1.0,4.0,San Francisco Unified School District,"325 Sanchez Street, 
San Francisco, CA  94114",37.76396,-122.4308,POINT (-122.4308 37.76396),San Francisco
209,15298,Sand Paths Academy,private,379.1877551020408,5.396694214876033,5.0,,"1218 South Van Ness Avenue, 
San Francisco, CA  94110",37.753468,-122.41672,POINT (-122.41672 37.753468),San Francisco
210,11496,Seneca Center,private,379.1877551020408,5.396694214876033,4.183673469387755,,"887 Potrero Avenue, 
San Francisco, CA  94110",37.758465,-122.406525,POINT (-122.406525 37.758465),San Francisco
211,10119,Senior Martin College Preparatory School,private,379.1877551020408,5.396694214876033,5.0,,"P.O. Box 347215, 
San Francisco, CA  94134",37.720203,-122.40991,POINT (-122.40991 37.720203),San Francisco
212,6429,Serra (Junipero) Elementary School,public,290.0,5.0,5.0,San Francisco Unified School District,"625 Holly Park Circle, 
San Francisco, CA  94110",37.736732,-122.42113,POINT (-122.42113 37.736732),San Francisco
213,31542,Shalom School Dba Bais Menacehm Yeshiva Day School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"862 28th Avenue, 
San Francisco, CA  94121",37.773132,-122.48712,POINT (-122.48712 37.773132),San Francisco
214,6431,Sheridan Elementary School,public,215.0,3.0,4.0,San Francisco Unified School District,"431 Capitol Avenue, 
San Francisco, CA  94112",37.714333,-122.45913,POINT (-122.45913 37.714333),San Francisco
215,6432,Sherman Elementary School,public,384.0,7.0,4.0,San Francisco Unified School District,"1651 Union Street, 
San Francisco, CA  94123",37.79827,-122.4262,POINT (-122.4262 37.79827),San Francisco
216,6433,Sloat (Commodore) Elementary School,public,395.0,8.0,4.0,San Francisco Unified School District,"50 Darien Way, 
San Francisco, CA  94127",37.73188,-122.47096,POINT (-122.47096 37.73188),San Francisco
219,31536,Spanish Infusión School,private,140.0,5.396694214876033,4.183673469387755,,"117 Diamond Street, 
San Francisco, CA  94114",37.760155,-122.43687,POINT (-122.43687 37.760155),San Francisco
220,16593,"Spectrum Center, Inc",private,379.1877551020408,5.396694214876033,4.183673469387755,,"95 Gough Street, 
San Francisco, CA  94102",37.774,-122.4224,POINT (-122.4224 37.774),San Francisco
221,6434,Spring Valley Elementary School,public,349.0,5.0,5.0,San Francisco Unified School District,"1451 Jackson Street, 
San Francisco, CA  94109",37.794403,-122.41899,POINT (-122.41899 37.794403),San Francisco
223,8102,St John S Elementary School,private,228.0,5.396694214876033,4.0,,"925 Chenery Street, 
San Francisco, CA  94131",37.735073,-122.43787,POINT (-122.43787 37.735073),San Francisco
224,8110,St. Anthony Immaculate Conception,private,113.0,5.396694214876033,4.0,,"299 Precita Avenue, 
San Francisco, CA  94110",37.747505,-122.41387,POINT (-122.41387 37.747505),San Francisco
225,8111,St. Brendan Elementary School,private,311.0,5.396694214876033,4.0,,"940 Laguna Honda Boulevard, 
San Francisco, CA  94127",37.7428,-122.45649,POINT (-122.45649 37.7428),San Francisco
226,8112,St. Brigid School,private,255.0,5.396694214876033,4.0,,"2250 Franklin Street, San Francisco, CA 94109, 
San Francisco, CA  94109",37.79536,-122.42485,POINT (-122.42485 37.79536),San Francisco
227,8113,St. Cecilia Elementary School,private,593.0,5.396694214876033,5.0,,"660 Vicente Street, 
San Francisco, CA  94116",37.73981,-122.47417,POINT (-122.47417 37.73981),San Francisco
228,8114,St. Charles Elementary School,private,102.0,5.396694214876033,4.0,,"3250 18th Street, 
San Francisco, CA  94110",37.762245,-122.41643,POINT (-122.41643 37.762245),San Francisco
229,8116,St. Elizabeth School,private,379.1877551020408,5.396694214876033,5.0,,"450 Somerset St, 
San Francisco, CA  94134",37.725956,-122.40732,POINT (-122.40732 37.725956),San Francisco
230,8118,St. Finn Barr,private,235.0,5.396694214876033,5.0,,"419 Hearst Avenue, 
San Francisco, CA  94112",37.730377,-122.44751,POINT (-122.44751 37.730377),San Francisco
231,8119,St. Gabriel Elementary School,private,467.0,5.396694214876033,4.0,,"2550 41st Avenue, 
San Francisco, CA  94116",37.7395,-122.49888,POINT (-122.49888 37.7395),San Francisco
232,8120,St. Ignatius College Preparatory School,private,1478.0,5.396694214876033,5.0,,"2001 37th Avenue, 
San Francisco, CA  94116",37.74807,-122.49593,POINT (-122.49593 37.74807),San Francisco
233,8121,St. James School,private,170.0,5.396694214876033,4.0,,"321 Fair Oaks Street, 
San Francisco, CA  94110",37.75132,-122.42395,POINT (-122.42395 37.75132),San Francisco
234,11503,St. John Of San Francisco Orthodox Acade,private,49.0,5.396694214876033,4.0,,"6210 Geary Boulevard, 
San Francisco, CA  94121",37.780224,-122.48595,POINT (-122.48595 37.780224),San Francisco
235,26294,St. John the Evangelist School,private,250.0,5.396694214876033,5.0,,"925 Chenery Street, 
San Francisco, CA  94131",37.735073,-122.43787,POINT (-122.43787 37.735073),San Francisco
236,8122,St. Mary's School,private,225.0,5.396694214876033,5.0,,"838 Kearny Street, 
San Francisco, CA  94108",37.79589,-122.40486,POINT (-122.40486 37.79589),San Francisco
237,8157,St. Monica School,private,205.0,5.396694214876033,5.0,,"5950 Geary Blvd, 
San Francisco, CA  94121",37.780235,-122.4833,POINT (-122.4833 37.780235),San Francisco
238,8123,St. Paul's School,private,215.0,5.396694214876033,3.0,,"1690 Church Street, 
San Francisco, CA  94131",37.744064,-122.42699,POINT (-122.42699 37.744064),San Francisco
239,8125,St. Peter's School,private,281.0,5.396694214876033,5.0,,"1266 Florida Street, 
San Francisco, CA  94110",37.75167,-122.409996,POINT (-122.409996 37.75167),San Francisco
240,8127,St. Philip School,private,223.0,5.396694214876033,4.0,,"665 Elizabeth Street, 
San Francisco, CA  94114",37.751846,-122.4355,POINT (-122.4355 37.751846),San Francisco
241,8128,St. Stephen School,private,306.0,5.396694214876033,3.0,,"401 Eucalyptus Drive, 
San Francisco, CA  94132",37.730804,-122.47728,POINT (-122.47728 37.730804),San Francisco
242,8130,St. Thomas More,private,311.0,5.396694214876033,4.0,,"50 Thomas More Way, 
San Francisco, CA  94132",37.712734,-122.47356,POINT (-122.47356 37.712734),San Francisco
243,8129,St. Thomas The Apostle School,private,292.0,5.396694214876033,4.0,,"3801 Balboa Street, 
San Francisco, CA  94121",37.77527,-122.499664,POINT (-122.499664 37.77527),San Francisco
245,8132,Star Of The Sea School,private,262.0,5.396694214876033,4.0,,"360 9th Avenue, 
San Francisco, CA  94118",37.781837,-122.46755,POINT (-122.46755 37.781837),San Francisco
246,8885,Sterne School,private,144.0,5.396694214876033,5.0,,"2690 Jackson Street, 
San Francisco, CA  94115",37.792,-122.43939,POINT (-122.43939 37.792),San Francisco
247,6436,Stevenson (Robert Louis) Elementary School,public,463.0,10.0,4.0,San Francisco Unified School District,"2051 34th Avenue, 
San Francisco, CA  94116",37.748856,-122.4923,POINT (-122.4923 37.748856),San Francisco
248,24975,Stratford School,private,167.0,5.396694214876033,5.0,,"301 De Montfort Avenue, 
San Francisco, CA  94112",37.72351,-122.461494,POINT (-122.461494 37.72351),San Francisco
249,8126,Sts. Peter And Paul K-8,private,225.0,5.396694214876033,4.0,,"660 Filbert Street, 
San Francisco, CA  94123",37.801437,-122.41045,POINT (-122.41045 37.801437),San Francisco
250,26817,Stuart Hall For Boys,private,370.0,5.396694214876033,5.0,,"2252 Broadway Street, 
San Francisco, CA  94115",37.794376,-122.43432,POINT (-122.43432 37.794376),San Francisco
251,13500,Stuart Hall High School,private,203.0,5.396694214876033,4.0,,"1715 Octavia Street, 
San Francisco, CA  94109",37.78863,-122.42728,POINT (-122.42728 37.78863),San Francisco
252,6437,Sunnyside Elementary School,public,385.0,6.0,4.0,San Francisco Unified School District,"250 Foerster Street, 
San Francisco, CA  94112",37.73031,-122.44879,POINT (-122.44879 37.73031),San Francisco
253,6438,Sunset Elementary School,public,403.0,10.0,5.0,San Francisco Unified School District,"1920 41st Avenue, 
San Francisco, CA  94116",37.750744,-122.49979,POINT (-122.49979 37.750744),San Francisco
254,31698,Sunset Progressive School (Will open: Fall 2015),private,12.0,5.396694214876033,4.183673469387755,,"1320 7th Ave, 
San Francisco, CA  94122",37.763756,-122.46389,POINT (-122.46389 37.763756),San Francisco
256,6439,Sutro Elementary School,public,259.0,8.0,5.0,San Francisco Unified School District,"235 12th Avenue, 
San Francisco, CA  94118",37.78393,-122.47102,POINT (-122.47102 37.78393),San Francisco
257,8889,Synergy School,private,190.0,5.396694214876033,4.0,,"1387 Valencia Street, 
San Francisco, CA  94110",37.7509,-122.4204,POINT (-122.4204 37.7509),San Francisco
258,31543,Tahour Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"4 Embarcadero Center, 
San Francisco, CA  94111",37.794956,-122.397285,POINT (-122.397285 37.794956),San Francisco
259,16596,Tall Ship Education Academy,private,379.1877551020408,5.396694214876033,3.0,,"1600 Holloway Ave Rls Department, 
San Francisco, CA  94132",37.720936,-122.477234,POINT (-122.477234 37.720936),San Francisco
260,6441,Taylor (Edward R.) Elementary School,public,671.0,6.0,4.0,San Francisco Unified School District,"423 Burrows Street, 
San Francisco, CA  94134",37.728,-122.40733,POINT (-122.40733 37.728),San Francisco
261,31544,Teknion Peri Sophia Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"315 Rome Street, 
San Francisco, CA  94112",37.71586,-122.44799,POINT (-122.44799 37.71586),San Francisco
262,6442,Tenderloin Community,public,332.0,3.0,4.0,San Francisco Unified School District,"627 Turk Street, 
San Francisco, CA  94102",37.782063,-122.41979,POINT (-122.41979 37.782063),San Francisco
263,16585,The Bay School Of San Francisco,private,355.0,5.396694214876033,5.0,,"35 Keyes Avenue, 
San Francisco, CA  94129",37.800777,-122.45564,POINT (-122.45564 37.800777),San Francisco
264,8968,The Brandeis School of San Francisco,private,332.0,5.396694214876033,4.0,,"655 Brotherhood Way, 
San Francisco, CA  94132",37.713284,-122.4756,POINT (-122.4756 37.713284),San Francisco
265,8797,The Laurel School,private,65.0,5.396694214876033,4.0,,"350 9th Avenue, 
San Francisco, CA  94118",37.78192,-122.46676,POINT (-122.46676 37.78192),San Francisco
266,31959,The New School of San Francisco,charter,183.0,5.396694214876033,4.183673469387755,Sbe - The New School Of San Francisco School District,"655 De Haro St, 
San Francisco, CA  94107",37.76172,-122.40062,POINT (-122.40062 37.76172),San Francisco
267,8545,Town School For Boys,private,408.0,5.396694214876033,4.0,,"2750 Jackson Street, 
San Francisco, CA  94115",37.791977,-122.4399,POINT (-122.4399 37.791977),San Francisco
268,6445,Ulloa Elementary School,public,514.0,10.0,3.0,San Francisco Unified School District,"2650 42nd Avenue, 
San Francisco, CA  94116",37.7373,-122.49995,POINT (-122.49995 37.7373),San Francisco
269,8900,Urban School Of San Francisco,private,378.0,5.396694214876033,4.0,,"1563 Page Street, 
San Francisco, CA  94117",37.770737,-122.44646,POINT (-122.44646 37.770737),San Francisco
270,6446,Visitacion Valley Elementary School,public,420.0,4.0,4.0,San Francisco Unified School District,"55 Schwerin Street, 
San Francisco, CA  94134",37.71268,-122.41036,POINT (-122.41036 37.71268),San Francisco
271,6447,Visitacion Valley Middle School,public,473.0,2.0,4.0,San Francisco Unified School District,"450 Raymond Avenue, 
San Francisco, CA  94134",37.71477,-122.41249,POINT (-122.41249 37.71477),San Francisco
272,12735,Voice Of Pentecost Academy,private,379.1877551020408,5.396694214876033,3.0,,"1970 Ocean Avenue, 
San Francisco, CA  94127",37.726357,-122.464035,POINT (-122.464035 37.726357),San Francisco
273,9935,Walden Academy,private,379.1877551020408,5.396694214876033,4.183673469387755,,"214 Haight Street, 
San Francisco, CA  94102",37.7727,-122.4258,POINT (-122.4258 37.7727),San Francisco
274,6449,Wallenberg (Raoul) Traditional High School,public,636.0,7.0,3.0,San Francisco Unified School District,"40 Vega Street, 
San Francisco, CA  94115",37.78017,-122.44575,POINT (-122.44575 37.78017),San Francisco
275,6450,Washington (George) High School,public,2054.0,8.0,4.0,San Francisco Unified School District,"600 32nd Avenue, 
San Francisco, CA  94121",37.777782,-122.49203,POINT (-122.49203 37.777782),San Francisco
276,6452,Wells (Ida B.) High School,public,125.0,5.396694214876033,5.0,San Francisco Unified School District,"1099 Hayes Street, 
San Francisco, CA  94117",37.77539,-122.43446,POINT (-122.43446 37.77539),San Francisco
277,16597,Wen Jian Ying School,private,8.0,5.396694214876033,4.183673469387755,,"259 Judson Avenue, 
San Francisco, CA  94112",37.72802,-122.44757,POINT (-122.44757 37.72802),San Francisco
278,6448,West Portal Elementary School,public,594.0,9.0,5.0,San Francisco Unified School District,"5 Lenox Way, 
San Francisco, CA  94127",37.743572,-122.46468,POINT (-122.46468 37.743572),San Francisco
279,8619,West Portal Lutheran Elementary School,private,502.0,5.396694214876033,4.0,,"200 Sloat Boulevard, 
San Francisco, CA  94132",37.735237,-122.47373,POINT (-122.47373 37.735237),San Francisco
281,10102,Woodside International School,private,51.0,5.396694214876033,5.0,,"1555 Irving Street, 
San Francisco, CA  94122",37.76343,-122.47475,POINT (-122.47475 37.76343),San Francisco
282,25488,Xian Yun Academy of the Arts California,private,40.0,5.396694214876033,4.0,,"1950 Page Street, 
San Francisco, CA  94103",37.76731,-122.4022,POINT (-122.4022 37.76731),San Francisco
283,6454,Yick Wo Elementary School,public,264.0,9.0,5.0,San Francisco Unified School District,"2245 Jones Street, 
San Francisco, CA  94133",37.802227,-122.41643,POINT (-122.41643 37.802227),San Francisco
284,11536,Youth Chance High School,private,379.1877551020408,5.396694214876033,4.183673469387755,,"169 Steuart Street, 
San Francisco, CA  94105",37.792747,-122.391945,POINT (-122.391945 37.792747),San Francisco
285,6455,Yu (Alice Fong) Elementary School,public,587.0,10.0,4.0,San Francisco Unified School District,"1541 12th Avenue, 
San Francisco, CA  94122",37.759403,-122.46931,POINT (-122.46931 37.759403),San Francisco
286,8620,Zion Lutheran School,private,151.0,5.396694214876033,5.0,,"495 9th Avenue, 
San Francisco, CA  94118",37.77924,-122.467636,POINT (-122.467636 37.77924),San Francisco
